date,month,city,day,temp,year
1996-10-26,Octubre,Logrono,26,22.2,1996
2016-10-27,Octubre,Logrono,27,25.6,2016
2006-10-27,Octubre,Logrono,27,24.8,2006
1954-10-27,Octubre,Logrono,27,24,1954
1963-10-27,Octubre,Logrono,27,24,1963
2002-10-27,Octubre,Logrono,27,23.6,2002
1995-10-27,Octubre,Logrono,27,23.4,1995
2010-10-27,Octubre,Logrono,27,23,2010
2000-10-27,Octubre,Logrono,27,22.8,2000
1971-10-27,Octubre,Logrono,27,22.4,1971
1988-10-27,Octubre,Logrono,27,22,1988
2006-10-28,Octubre,Logrono,28,27,2006
1995-10-28,Octubre,Logrono,28,26.8,1995
1954-10-28,Octubre,Logrono,28,25.2,1954
1963-10-28,Octubre,Logrono,28,24,1963
1996-10-28,Octubre,Logrono,28,23,1996
1968-10-28,Octubre,Logrono,28,22.4,1968
1986-10-28,Octubre,Logrono,28,22.4,1986
2005-10-28,Octubre,Logrono,28,22.4,2005
1988-10-28,Octubre,Logrono,28,22,1988
1998-10-28,Octubre,Logrono,28,22,1998
2006-10-29,Octubre,Logrono,29,29,2006
2009-10-29,Octubre,Logrono,29,25.4,2009
1968-10-29,Octubre,Logrono,29,24.6,1968
1990-10-29,Octubre,Logrono,29,24.2,1990
1954-10-29,Octubre,Logrono,29,24,1954
2005-10-29,Octubre,Logrono,29,23.6,2005
2016-10-29,Octubre,Logrono,29,23.2,2016
2001-10-29,Octubre,Logrono,29,23,2001
2014-10-29,Octubre,Logrono,29,22.5,2014
1957-10-29,Octubre,Logrono,29,22.4,1957
2006-10-30,Octubre,Logrono,30,26.4,2006
2009-10-30,Octubre,Logrono,30,26.3,2009
1989-10-30,Octubre,Logrono,30,25,1989
2016-10-30,Octubre,Logrono,30,23.8,2016
1990-10-30,Octubre,Logrono,30,23.6,1990
2005-10-30,Octubre,Logrono,30,23.4,2005
1973-10-30,Octubre,Logrono,30,23.2,1973
1968-10-30,Octubre,Logrono,30,23,1968
2011-10-30,Octubre,Logrono,30,22.6,2011
2001-10-30,Octubre,Logrono,30,22.4,2001
1989-10-31,Octubre,Logrono,31,27,1989
2006-10-31,Octubre,Logrono,31,25.4,2006
2009-10-31,Octubre,Logrono,31,25,2009
1968-10-31,Octubre,Logrono,31,23.6,1968
2001-10-31,Octubre,Logrono,31,22,2001
1965-10-31,Octubre,Logrono,31,21.8,1965
1971-10-31,Octubre,Logrono,31,21.6,1971
1996-10-31,Octubre,Logrono,31,21.2,1996
1988-10-31,Octubre,Logrono,31,21,1988
2019-10-31,Octubre,Logrono,31,21,2019
1976-12-01,Diciembre,Logrono,1,20,1976
1983-12-01,Diciembre,Logrono,1,18,1983
1952-12-01,Diciembre,Logrono,1,17.2,1952
1979-12-01,Diciembre,Logrono,1,17,1979
1974-12-01,Diciembre,Logrono,1,15.6,1974
1989-12-01,Diciembre,Logrono,1,15.2,1989
1997-12-01,Diciembre,Logrono,1,15.2,1997
1957-12-01,Diciembre,Logrono,1,15,1957
1966-12-01,Diciembre,Logrono,1,15,1966
1962-12-01,Diciembre,Logrono,1,14.4,1962
1979-12-02,Diciembre,Logrono,2,18.4,1979
1976-12-02,Diciembre,Logrono,2,17.4,1976
1983-12-02,Diciembre,Logrono,2,16.8,1983
1965-12-02,Diciembre,Logrono,2,16.6,1965
2015-12-02,Diciembre,Logrono,2,15.6,2015
1992-12-02,Diciembre,Logrono,2,15.4,1992
1993-12-02,Diciembre,Logrono,2,15,1993
1996-12-02,Diciembre,Logrono,2,14.8,1996
1997-12-02,Diciembre,Logrono,2,14.8,1997
2016-12-02,Diciembre,Logrono,2,14.6,2016
1953-12-03,Diciembre,Logrono,3,17,1953
2007-12-03,Diciembre,Logrono,3,15.5,2007
1992-12-03,Diciembre,Logrono,3,15.2,1992
1955-12-03,Diciembre,Logrono,3,15,1955
2018-12-03,Diciembre,Logrono,3,15,2018
1994-12-03,Diciembre,Logrono,3,14.8,1994
1959-12-03,Diciembre,Logrono,3,14.6,1959
1968-12-03,Diciembre,Logrono,3,14.4,1968
1954-12-03,Diciembre,Logrono,3,14.2,1954
1995-12-03,Diciembre,Logrono,3,14.2,1995
2006-12-04,Diciembre,Logrono,4,20.1,2006
2018-12-04,Diciembre,Logrono,4,18.2,2018
2005-12-04,Diciembre,Logrono,4,18,2005
2007-12-04,Diciembre,Logrono,4,17.3,2007
1961-12-04,Diciembre,Logrono,4,17,1961
1953-12-04,Diciembre,Logrono,4,16.5,1953
2015-12-04,Diciembre,Logrono,4,15.7,2015
2013-12-04,Diciembre,Logrono,4,15.4,2013
1974-12-04,Diciembre,Logrono,4,15.2,1974
1954-12-04,Diciembre,Logrono,4,14.2,1954
2006-12-05,Diciembre,Logrono,5,18.8,2006
1965-12-05,Diciembre,Logrono,5,17,1965
1955-12-05,Diciembre,Logrono,5,15.8,1955
2001-12-05,Diciembre,Logrono,5,15.8,2001
2016-12-05,Diciembre,Logrono,5,15.2,2016
2015-12-05,Diciembre,Logrono,5,15.1,2015
2009-12-05,Diciembre,Logrono,5,14.8,2009
1967-12-05,Diciembre,Logrono,5,14.4,1967
2008-12-05,Diciembre,Logrono,5,14.4,2008
2007-12-05,Diciembre,Logrono,5,14.3,2007
2016-12-06,Diciembre,Logrono,6,16,2016
2001-12-06,Diciembre,Logrono,6,15.8,2001
2018-12-06,Diciembre,Logrono,6,15.4,2018
1954-12-06,Diciembre,Logrono,6,15.2,1954
1967-12-06,Diciembre,Logrono,6,15,1967
1976-12-06,Diciembre,Logrono,6,14.8,1976
1994-12-06,Diciembre,Logrono,6,14.8,1994
2007-12-06,Diciembre,Logrono,6,14.8,2007
1965-12-06,Diciembre,Logrono,6,13.8,1965
1991-12-06,Diciembre,Logrono,6,13.6,1991
2000-12-07,Diciembre,Logrono,7,20.6,2000
2010-12-07,Diciembre,Logrono,7,17.2,2010
1976-12-07,Diciembre,Logrono,7,15,1976
2001-12-07,Diciembre,Logrono,7,15,2001
2009-12-07,Diciembre,Logrono,7,15,2009
2019-12-07,Diciembre,Logrono,7,15,2019
2011-12-07,Diciembre,Logrono,7,14.6,2011
1982-12-07,Diciembre,Logrono,7,14.4,1982
2018-12-07,Diciembre,Logrono,7,14.2,2018
2012-12-07,Diciembre,Logrono,7,13.9,2012
2010-12-08,Diciembre,Logrono,8,18.7,2010
1978-12-08,Diciembre,Logrono,8,17.8,1978
1981-12-08,Diciembre,Logrono,8,16.4,1981
1997-12-08,Diciembre,Logrono,8,15.8,1997
2011-12-08,Diciembre,Logrono,8,15.6,2011
2009-12-08,Diciembre,Logrono,8,14.8,2009
2018-12-08,Diciembre,Logrono,8,14.8,2018
2007-12-08,Diciembre,Logrono,8,14.5,2007
2000-12-08,Diciembre,Logrono,8,14.2,2000
1993-12-08,Diciembre,Logrono,8,14,1993
1978-12-09,Diciembre,Logrono,9,18.8,1978
1982-12-09,Diciembre,Logrono,9,16.6,1982
2015-12-09,Diciembre,Logrono,9,16.6,2015
1981-12-09,Diciembre,Logrono,9,16.4,1981
2009-12-09,Diciembre,Logrono,9,16.2,2009
2007-12-09,Diciembre,Logrono,9,15.9,2007
2018-12-09,Diciembre,Logrono,9,15.7,2018
1993-12-09,Diciembre,Logrono,9,15.4,1993
1963-12-09,Diciembre,Logrono,9,14.2,1963
2000-12-09,Diciembre,Logrono,9,14.2,2000
1978-12-10,Diciembre,Logrono,10,21.2,1978
1961-12-10,Diciembre,Logrono,10,18.2,1961
2009-12-10,Diciembre,Logrono,10,17.6,2009
2017-12-10,Diciembre,Logrono,10,16.4,2017
1982-12-10,Diciembre,Logrono,10,16.2,1982
1993-12-10,Diciembre,Logrono,10,16,1993
1994-12-10,Diciembre,Logrono,10,16,1994
1997-12-10,Diciembre,Logrono,10,15.2,1997
1989-12-10,Diciembre,Logrono,10,14.8,1989
1981-12-10,Diciembre,Logrono,10,14.6,1981
1981-12-11,Diciembre,Logrono,11,18.4,1981
1978-12-11,Diciembre,Logrono,11,17.2,1978
1961-12-11,Diciembre,Logrono,11,16.8,1961
1994-12-11,Diciembre,Logrono,11,16.8,1994
1951-12-11,Diciembre,Logrono,11,16,1951
1979-12-11,Diciembre,Logrono,11,16,1979
1970-12-11,Diciembre,Logrono,11,15.6,1970
2017-12-11,Diciembre,Logrono,11,15.4,2017
1999-12-11,Diciembre,Logrono,11,14.8,1999
1958-12-11,Diciembre,Logrono,11,14.6,1958
1978-12-12,Diciembre,Logrono,12,20.4,1978
1981-12-12,Diciembre,Logrono,12,18.2,1981
1994-12-12,Diciembre,Logrono,12,17,1994
1961-12-12,Diciembre,Logrono,12,16.8,1961
1982-12-12,Diciembre,Logrono,12,16.8,1982
2016-12-12,Diciembre,Logrono,12,16.8,2016
2010-12-12,Diciembre,Logrono,12,16.7,2010
1998-12-12,Diciembre,Logrono,12,16.6,1998
1951-12-12,Diciembre,Logrono,12,15.8,1951
1958-12-12,Diciembre,Logrono,12,15.6,1958
1981-12-13,Diciembre,Logrono,13,18.2,1981
1978-12-13,Diciembre,Logrono,13,16.8,1978
2019-12-13,Diciembre,Logrono,13,15.7,2019
1998-12-13,Diciembre,Logrono,13,15.6,1998
1961-12-13,Diciembre,Logrono,13,15.4,1961
1958-12-13,Diciembre,Logrono,13,15,1958
1989-12-13,Diciembre,Logrono,13,15,1989
1985-12-13,Diciembre,Logrono,13,14.8,1985
2003-12-13,Diciembre,Logrono,13,14.2,2003
1992-12-13,Diciembre,Logrono,13,13.8,1992
1989-12-14,Diciembre,Logrono,14,21.4,1989
2019-12-14,Diciembre,Logrono,14,16.5,2019
1981-12-14,Diciembre,Logrono,14,16,1981
1961-12-14,Diciembre,Logrono,14,15.8,1961
2011-12-14,Diciembre,Logrono,14,15,2011
1954-12-14,Diciembre,Logrono,14,14.4,1954
2013-12-14,Diciembre,Logrono,14,14.4,2013
1951-12-14,Diciembre,Logrono,14,14,1951
1953-12-14,Diciembre,Logrono,14,14,1953
1987-12-14,Diciembre,Logrono,14,14,1987
1989-12-15,Diciembre,Logrono,15,21.2,1989
1987-12-15,Diciembre,Logrono,15,16.4,1987
2018-12-15,Diciembre,Logrono,15,16.1,2018
2019-12-15,Diciembre,Logrono,15,15.7,2019
1981-12-15,Diciembre,Logrono,15,15.6,1981
1955-12-15,Diciembre,Logrono,15,15.5,1955
1961-12-15,Diciembre,Logrono,15,15,1961
1979-12-15,Diciembre,Logrono,15,15,1979
2012-12-15,Diciembre,Logrono,15,14.6,2012
1951-12-15,Diciembre,Logrono,15,14.4,1951
1989-12-16,Diciembre,Logrono,16,19.6,1989
2011-12-16,Diciembre,Logrono,16,19.5,2011
1985-12-16,Diciembre,Logrono,16,19.4,1985
1987-12-16,Diciembre,Logrono,16,18.6,1987
1981-12-16,Diciembre,Logrono,16,16.4,1981
2018-12-16,Diciembre,Logrono,16,15.2,2018
1953-12-16,Diciembre,Logrono,16,14.3,1953
1979-12-16,Diciembre,Logrono,16,13.6,1979
1958-12-16,Diciembre,Logrono,16,13.4,1958
1955-12-16,Diciembre,Logrono,16,13.2,1955
1989-12-17,Diciembre,Logrono,17,16.8,1989
1987-12-17,Diciembre,Logrono,17,16.6,1987
1985-12-17,Diciembre,Logrono,17,16.4,1985
2019-12-17,Diciembre,Logrono,17,15.4,2019
2014-12-17,Diciembre,Logrono,17,14.8,2014
1955-12-17,Diciembre,Logrono,17,14.6,1955
2012-12-17,Diciembre,Logrono,17,13.7,2012
2016-12-17,Diciembre,Logrono,17,13.6,2016
1953-12-17,Diciembre,Logrono,17,13,1953
1962-12-17,Diciembre,Logrono,17,13,1962
1989-12-18,Diciembre,Logrono,18,18,1989
2014-12-18,Diciembre,Logrono,18,15,2014
1991-12-18,Diciembre,Logrono,18,14.8,1991
1986-12-18,Diciembre,Logrono,18,14.4,1986
1997-12-18,Diciembre,Logrono,18,14.4,1997
2002-12-18,Diciembre,Logrono,18,14.4,2002
2004-12-18,Diciembre,Logrono,18,14.2,2004
2019-12-18,Diciembre,Logrono,18,13.9,2019
2015-12-18,Diciembre,Logrono,18,13.8,2015
1985-12-18,Diciembre,Logrono,18,13.6,1985
1987-12-19,Diciembre,Logrono,19,17.6,1987
1993-12-19,Diciembre,Logrono,19,16.2,1993
2019-12-19,Diciembre,Logrono,19,15.4,2019
1972-12-19,Diciembre,Logrono,19,15.2,1972
1953-12-19,Diciembre,Logrono,19,15,1953
2004-12-19,Diciembre,Logrono,19,14.2,2004
1969-12-19,Diciembre,Logrono,19,14,1969
1991-12-19,Diciembre,Logrono,19,14,1991
1996-12-19,Diciembre,Logrono,19,14,1996
2018-12-19,Diciembre,Logrono,19,13.9,2018
1993-12-20,Diciembre,Logrono,20,17.2,1993
1987-12-20,Diciembre,Logrono,20,16.8,1987
1989-12-20,Diciembre,Logrono,20,16.2,1989
1971-12-20,Diciembre,Logrono,20,15.8,1971
2019-12-20,Diciembre,Logrono,20,15.7,2019
2014-12-20,Diciembre,Logrono,20,15,2014
1980-12-20,Diciembre,Logrono,20,14.6,1980
2018-12-20,Diciembre,Logrono,20,14.6,2018
1973-12-20,Diciembre,Logrono,20,14.2,1973
2013-12-20,Diciembre,Logrono,20,14.1,2013
2012-12-21,Diciembre,Logrono,21,16.9,2012
1971-12-21,Diciembre,Logrono,21,16,1971
1996-12-21,Diciembre,Logrono,21,15.8,1996
1989-12-21,Diciembre,Logrono,21,15.6,1989
2019-12-21,Diciembre,Logrono,21,15.1,2019
1968-12-21,Diciembre,Logrono,21,14.8,1968
1984-12-21,Diciembre,Logrono,21,14.6,1984
2011-12-21,Diciembre,Logrono,21,14.5,2011
1959-12-21,Diciembre,Logrono,21,14.2,1959
2017-12-21,Diciembre,Logrono,21,14.2,2017
2019-12-22,Diciembre,Logrono,22,17.6,2019
1995-12-22,Diciembre,Logrono,22,17.4,1995
2012-12-22,Diciembre,Logrono,22,16.8,2012
1968-12-22,Diciembre,Logrono,22,16.6,1968
2018-12-22,Diciembre,Logrono,22,16.6,2018
1989-12-22,Diciembre,Logrono,22,15.4,1989
1983-12-22,Diciembre,Logrono,22,14.2,1983
1987-12-22,Diciembre,Logrono,22,14.2,1987
1991-12-22,Diciembre,Logrono,22,14.2,1991
1967-12-22,Diciembre,Logrono,22,13.8,1967
1981-12-23,Diciembre,Logrono,23,18.2,1981
1991-12-23,Diciembre,Logrono,23,17.4,1991
1995-12-23,Diciembre,Logrono,23,16.8,1995
1983-12-23,Diciembre,Logrono,23,16.4,1983
2016-12-23,Diciembre,Logrono,23,15.5,2016
1955-12-23,Diciembre,Logrono,23,15.2,1955
2018-12-23,Diciembre,Logrono,23,15.1,2018
1953-12-23,Diciembre,Logrono,23,15,1953
1968-12-23,Diciembre,Logrono,23,14.6,1968
1954-12-23,Diciembre,Logrono,23,14.5,1954
2013-12-24,Diciembre,Logrono,24,17.6,2013
1955-12-24,Diciembre,Logrono,24,17.4,1955
2019-12-24,Diciembre,Logrono,24,16.5,2019
1968-12-24,Diciembre,Logrono,24,15.6,1968
2018-12-24,Diciembre,Logrono,24,15.3,2018
1965-12-24,Diciembre,Logrono,24,15.2,1965
1952-12-24,Diciembre,Logrono,24,14.8,1952
1988-12-24,Diciembre,Logrono,24,14.8,1988
2016-12-24,Diciembre,Logrono,24,13.2,2016
2002-12-24,Diciembre,Logrono,24,12.8,2002
1977-12-25,Diciembre,Logrono,25,17.2,1977
2019-12-25,Diciembre,Logrono,25,15.5,2019
1965-12-25,Diciembre,Logrono,25,15,1965
2002-12-25,Diciembre,Logrono,25,14.8,2002
1985-12-25,Diciembre,Logrono,25,14.4,1985
2012-12-25,Diciembre,Logrono,25,14,2012
2008-12-25,Diciembre,Logrono,25,13.6,2008
1995-12-25,Diciembre,Logrono,25,13.4,1995
2016-12-25,Diciembre,Logrono,25,13.4,2016
1968-12-25,Diciembre,Logrono,25,13.2,1968
1999-12-26,Diciembre,Logrono,26,19.6,1999
2002-12-26,Diciembre,Logrono,26,17,2002
1977-12-26,Diciembre,Logrono,26,16.2,1977
1983-12-26,Diciembre,Logrono,26,16.2,1983
1974-12-26,Diciembre,Logrono,26,15.8,1974
1995-12-26,Diciembre,Logrono,26,15.8,1995
2019-12-26,Diciembre,Logrono,26,14.9,2019
1959-12-26,Diciembre,Logrono,26,14.8,1959
1951-12-26,Diciembre,Logrono,26,14.2,1951
1987-12-26,Diciembre,Logrono,26,14,1987
1999-12-27,Diciembre,Logrono,27,19.8,1999
2002-12-27,Diciembre,Logrono,27,17.4,2002
1978-12-27,Diciembre,Logrono,27,16.6,1978
1955-12-27,Diciembre,Logrono,27,15,1955
1959-12-27,Diciembre,Logrono,27,14.4,1959
1974-12-27,Diciembre,Logrono,27,14.4,1974
1983-12-27,Diciembre,Logrono,27,14.2,1983
1953-12-27,Diciembre,Logrono,27,14,1953
1958-12-27,Diciembre,Logrono,27,13.4,1958
1961-12-27,Diciembre,Logrono,27,13.4,1961
2019-12-28,Diciembre,Logrono,28,15.7,2019
1974-12-28,Diciembre,Logrono,28,14.8,1974
2012-12-28,Diciembre,Logrono,28,14.3,2012
1955-12-28,Diciembre,Logrono,28,14,1955
1978-12-28,Diciembre,Logrono,28,13.8,1978
1983-12-28,Diciembre,Logrono,28,13.2,1983
1995-12-28,Diciembre,Logrono,28,13,1995
2011-12-28,Diciembre,Logrono,28,12.9,2011
1958-12-28,Diciembre,Logrono,28,12.8,1958
1985-12-28,Diciembre,Logrono,28,12.6,1985
2017-12-29,Diciembre,Logrono,29,15.7,2017
1978-12-29,Diciembre,Logrono,29,15.4,1978
2002-12-29,Diciembre,Logrono,29,14.4,2002
1961-12-29,Diciembre,Logrono,29,14,1961
2015-12-29,Diciembre,Logrono,29,13.9,2015
2018-12-29,Diciembre,Logrono,29,13.7,2018
1993-12-29,Diciembre,Logrono,29,13.6,1993
2016-12-29,Diciembre,Logrono,29,13,2016
1974-12-29,Diciembre,Logrono,29,12.8,1974
1955-12-29,Diciembre,Logrono,29,11.8,1955
2017-12-30,Diciembre,Logrono,30,17.9,2017
1981-12-30,Diciembre,Logrono,30,17.2,1981
2009-12-30,Diciembre,Logrono,30,15.9,2009
1983-12-30,Diciembre,Logrono,30,15.2,1983
1961-12-30,Diciembre,Logrono,30,15,1961
2005-12-30,Diciembre,Logrono,30,15,2005
1966-12-30,Diciembre,Logrono,30,14,1966
1959-12-30,Diciembre,Logrono,30,13.8,1959
2018-12-30,Diciembre,Logrono,30,13.5,2018
1963-12-30,Diciembre,Logrono,30,13,1963
1994-12-31,Diciembre,Logrono,31,20,1994
2018-12-31,Diciembre,Logrono,31,17.1,2018
1961-12-31,Diciembre,Logrono,31,15.8,1961
1978-12-31,Diciembre,Logrono,31,15.8,1978
2011-12-31,Diciembre,Logrono,31,15.3,2011
1995-12-31,Diciembre,Logrono,31,14.4,1995
2004-12-31,Diciembre,Logrono,31,14.4,2004
1976-12-31,Diciembre,Logrono,31,14,1976
1993-12-31,Diciembre,Logrono,31,14,1993
2014-12-31,Diciembre,Logrono,31,13.8,2014
